GRADE;MENSAGENS ASSOCIADAS;ABERTURA 24/12 (se dia util);FECHAMENTO 24/12 (se dia util);ABERTURA ultimo dia util do ano;FECHAMENTO ultimo dia util do ano;ABERTURA Demais Dias uteis;FECHAMENTO Demais Dias uteis;ABERTURA Sabados e Feriados;FECHAMENTO Sabados e Feriados;ABERTURA Domingos;FECHAMENTO Domingos
AGE01;STR0003;04:00:00;23:59:59;04:00:00;23:59:59;04:00:00;23:59:59;04:00:00;23:59:59;12:00:00;23:59:59
AGE01;STR0004;04:00:00;23:59:59;04:00:00;23:59:59;04:00:00;23:59:59;04:00:00;23:59:59;12:00:00;23:59:59
AGE01;STR0005;04:00:00;23:59:59;04:00:00;23:59:59;04:00:00;23:59:59;04:00:00;23:59:59;12:00:00;23:59:59
AGE01;STR0006;04:00:00;23:59:59;04:00:00;23:59:59;04:00:00;23:59:59;04:00:00;23:59:59;12:00:00;23:59:59
AGE01;STR0007;04:00:00;23:59:59;04:00:00;23:59:59;04:00:00;23:59:59;04:00:00;23:59:59;12:00:00;23:59:59
AGE01;STR0008;04:00:00;23:59:59;04:00:00;23:59:59;04:00:00;23:59:59;04:00:00;23:59:59;12:00:00;23:59:59
AGE01;STR0010;04:00:00;23:59:59;04:00:00;23:59:59;04:00:00;23:59:59;04:00:00;23:59:59;12:00:00;23:59:59
AGE01;STR0011;04:00:00;23:59:59;04:00:00;23:59:59;04:00:00;23:59:59;04:00:00;23:59:59;12:00:00;23:59:59
AGE01;STR0020;04:00:00;23:59:59;04:00:00;23:59:59;04:00:00;23:59:59;04:00:00;23:59:59;12:00:00;23:59:59
AGE01;STR0021;04:00:00;23:59:59;04:00:00;23:59:59;04:00:00;23:59:59;04:00:00;23:59:59;12:00:00;23:59:59
AGE01;STR0022;04:00:00;23:59:59;04:00:00;23:59:59;04:00:00;23:59:59;04:00:00;23:59:59;12:00:00;23:59:59
AGE01;STR0025;04:00:00;23:59:59;04:00:00;23:59:59;04:00:00;23:59:59;04:00:00;23:59:59;12:00:00;23:59:59
AGE01;STR0026;04:00:00;23:59:59;04:00:00;23:59:59;04:00:00;23:59:59;04:00:00;23:59:59;12:00:00;23:59:59
AGE01;STR0029;04:00:00;23:59:59;04:00:00;23:59:59;04:00:00;23:59:59;04:00:00;23:59:59;12:00:00;23:59:59
AGE01;STR0033;04:00:00;23:59:59;04:00:00;23:59:59;04:00:00;23:59:59;04:00:00;23:59:59;12:00:00;23:59:59
AGE01;STR0034;04:00:00;23:59:59;04:00:00;23:59:59;04:00:00;23:59:59;04:00:00;23:59:59;12:00:00;23:59:59
AGE01;STR0037;04:00:00;23:59:59;04:00:00;23:59:59;04:00:00;23:59:59;04:00:00;23:59:59;12:00:00;23:59:59
AGE01;STR0039;04:00:00;23:59:59;04:00:00;23:59:59;04:00:00;23:59:59;04:00:00;23:59:59;12:00:00;23:59:59
AGE01;STR0040;04:00:00;23:59:59;04:00:00;23:59:59;04:00:00;23:59:59;04:00:00;23:59:59;12:00:00;23:59:59
